Id,Title,Text,Comment,Tags,PostTypeId,LastEditDate,Title,Tags,Reputation,CreationDate,Views,UpVotes,DownVotes,WebsiteUrl,Location,AboutMe,ApprovalDate,RejectionDate
3357327,,"This would work  (I am taking the input as a list, you can modify your code accordingly). There is also no need to tell the script the number of elements as it can be handled in a for loop. 

    f = [455, 346, 76, 304, 488, 374, 385, 433, 350, 9, 1000]
    
    def xyzzy(foo):
        output = [0]
        for i in range(1, len(foo)):
            _this = foo[i]
            _tmp = [y for y in foo[0:i] if y > _this]
            if not _tmp:
                output.append(0)
                continue
            output.append(_tmp[-1])
    
        return output

    print(xyzzy(f))



",python 3 code,,2,10/16/17 10:00,,,1357,11/19/12 17:04,203,873,0,,"Bangalore, Karnataka, India","<p>Definitions have changed over the recent years; I still stand tall among the Redwoods.</p>

<p>Curious to learn stuff.</p>
",10/16/17 8:42,
1852866,,"I am trying to make a online simple game, when I test my game on localhost , there is no problem with the server and the client but when I try to connect my pc to my laptop over local network this start receiving data but few seconds after it stopped.

here is  my code:

[Server][1]   
[Client][2]


  [1]: http://pastebin.com/jvTeEMLj
  [2]: http://pastebin.com/Gvd8VxkE",formatting and grammer,,1,5/8/15 4:21,UDP Server stop receiving data,<c++><c><networking><udp><server>,2826,4/19/14 22:35,241,102,12,,"New York, United States","<p>Linux based Java developer . Enjoy challenging problems on datastructures and algorithms.
Enjoy debugging scalability issues on distributed systems. </p>

<p>Have a flair for picking up new languages and technologies . Experienced in setting up  new technologies and tools for large teams . Succesfully configured Teamcity, jacoco, Jolokia, Nagios/icinga, Stash , ELK Stack ,PNP4Nagios .Battle scars with Graphite and graphite-web</p>

<p>Do love figuring out a good bug once in a while</p>
",5/8/15 4:21,
2158488,Virtuoso fails to run after any update to virtuoso.ini,"I've installed [Virtuoso OpenSource][1] 7.2.+ on my Ubuntu 14.04 LTS. When I change `virtuoso.ini` (any change such as adding a new directory to the `DirsAllowed`), the server fails to work; when I set the configurations back to its defaults, then it's working. Any idea here?


  [1]: http://virtuoso.openlinksw.com/dataspace/doc/dav/wiki/Main/",tweaked topic,,1,10/29/15 14:33,Virtuoso fails to run after any update to virtuoso.ini,<ubuntu-14.04><virtuoso>,4669,12/30/09 20:38,584,21,2,http://myopenlink.net/dataspace/person/tthibodeau,"Boston, MA, United States","<p><strong>Personal:</strong> Mac Geek. Human Middleware. Shamanic Witch. Shapeshifter. Singer. Drummer. Dancer. Dreamer.</p>

<p><strong>Professional:</strong> Technical Evangelist for <a href=""http://www.openlinksw.com/"" rel=""nofollow"">OpenLink Software</a>, maintainer/supporter/vendor of (among other things):</p>

<ul>
<li>Open Source
<ul>
<li><a href=""http://virtuoso.openlinksw.com/dataspace/dav/wiki/Main/VOSIndex"" rel=""nofollow"">OpenLink Virtuoso (Open Source Edition) a/k/a VOS</a>, the hybrid Relational/Graph/FreeText Store and SQL/SPARQL Engine (and much more) hosting <a href=""http://dbpedia.org/sparql"" rel=""nofollow"">DBpedia</a>, <a href=""http://bio2rdf.org/"" rel=""nofollow"">Bio2RDF</a>, and many others</li>
<li>the <a href=""http://ode.openlinksw.com/"" rel=""nofollow"">OpenLink Data Explorer</a></li>
<li>the <a href=""http://oat.openlinksw.com/"" rel=""nofollow"">OpenLink AJAX Toolkit</a></li>
<li>the <a href=""http://www.iodbc.org/"" rel=""nofollow"">iODBC (Independent ODBC) project</a></li>
</ul></li>
<li>Commercial
<ul>
<li><a href=""http://virtuoso.openlinksw.com/"" rel=""nofollow"">OpenLink Virtuoso (Commercial Edition)</a>, the cross-platform hybrid Relational/Graph/FreeText Store and SQL/SPARQL Engine (and much more) hosting <a href=""http://linkeddata.uriburner.com/"" rel=""nofollow"">URIBurner</a>, the <a href=""http://lod.openlinksw.com/"" rel=""nofollow"">LOD Cloud Cache</a>, and many others</li>
<li>the <a href=""http://uda.openlinksw.com/"" rel=""nofollow"">OpenLink Universal Data Access</a> Suite of cross-platform ODBC, JDBC, ADO.NET, OLE DB, and XMLA drivers/providers</li>
</ul></li>
</ul>

<p>ObDisclaimer: I do not directly benefit from anyone's choice to use or purchase any of the above software.</p>
",10/29/15 14:33,
1872448,,"I have created an angular directive.

The goal of my directive is to change text of the button that is being clicked. 

My problem is that my directive is working with all the buttons of the first/main page, but when I display a popup in my `<div ui-view></div>` that has a button with this directive, it doesn't work.

    app.directive('callbutton', function() {
        return {
            restrict: 'E',
            replace: true,
            transclude: true,
            template: '<button type=""button"" class=""btn btn-block btn-lg btn-success""><i class=""fa fa-phone""></i> Call</button>',
            link: function(scope, elem, attrs) {
                elem.bind(""click"", function{
                    elem.text('other text');
                })
            }
        }
    });

Thanks in advance.",fixed grammar,,1,5/18/15 16:00,Directive doesn't work in Popup Angular,<javascript><jquery><angularjs><angularjs-directive>,204,11/21/14 8:26,147,489,34,https://it.linkedin.com/pub/gianluca-esposito/42/39b/30,"Milan, Italy","<p>Junior Front End Developer.</p>

<p>I love music as much as I hate retrofitting an AngularJS web-app for IE8-.</p>

<p>... And I hate retrofitting an AngularJS web-app for IE8- very very very much.</p>

<h1>SOreadytohelp</h1>
",5/18/15 16:00,
1338666,,"This is my code, at the end you can find the output. Basically there
are 2 outputs, how can I get just one output on this situation:


### SQL ###

<pre><code>

    DECLARE 
    @SubcategoriaId [nvarchar] (15),
    @Nombre [nvarchar](50),
    @Descripcion [nvarchar](100),
    @CantProd [numeric] (4,0)
    
    -- Declaring the cursor
    DECLARE XX_Cursor CURSOR
    FOR SELECT subcategoria.SubcategoriaId, subcategoria.Nombre, subcategoria.Descripcion
    FROM subcategoria 
    WHERE subcategoria.Categoria = 'Ca_2E006CC3'
    
    
    OPEN XX_Cursor
    
    -- I save the first cursor result into the variables @SubcategoriaId, @Nombre, @Descripcion
    FETCH NEXT FROM XX_Cursor INTO @SubcategoriaId, @Nombre, @Descripcion
    
    
    WHILE (@@FETCH_STATUS = 0)
    BEGIN
    
    SET @CantProd = (SELECT count(*) FROM TEST_COLUMN)
    	
    -- with this select I will get a lot of rows but on a different requests because this is in a loop 
    Select @SubcategoriaId AS ID, @Nombre AS Name, @Descripcion AS Description, @CantProd AS Cant
    
    FETCH NEXT FROM XX_Cursor INTO @SubcategoriaId, @Nombre, @Descripcion
    END
    
    CLOSE XX_Cursor
    DEALLOCATE XX_Cursor

</code></pre>

### Output ###



This is the output:

    ID | Name | Description | Cant   
    Sc_7EAFEDED | Desc Subcategoria desde WEB 2.2 | Desc Subcategoria desde WEB 2.2 |  3

    ID | Name | Description | Cant   
    Sc_7EAFEKMD | Desc Subcategoria desde WEB 1.1 | Desc Subcategoria desde WEB 1.1 |  1

But I need something like this:

    ID | Name | Description | Cant   
    Sc_7EAFEDED | Desc Subcategoria desde WEB 2.2 | Desc Subcategoria desde WEB 2.2 |  3 
    Sc_7EAFEKMD | Desc Subcategoria desde WEB 1.1 | Desc Subcategoria desde WEB 1.1 |  1
",improved formatting,,1,5/16/14 16:34,How to get just one output when a SELECT is in a loop?,<sql><sql-server>,277,4/2/14 11:59,252,45,66,,,,5/16/14 6:06,
1413177,,"I am designing a chat application with xmpp, in order to replace my `AsyncTask` with a better solution (which doesnt memory leak, configuration changes have no effect, manages job queue's, running more than just 1 `AsyncTask` at moment, etc).

There I came up with a solution: `IntentService`. At first every thing look too good for it which makes you doubt about its too good being, at moment, my `AsyncTask`s live in a service that will run for days,and their job is to do Network sending & receiving.

So now in another service I have Listeners, which listen for packets, I'm wondering is `IntentService` a good Idea for using as a Listener service (since I have seen `IntentService` works with `Intent`s, so i wondered may be it does some jobs upon requests), or i should keep it up with basic Service?

Also I'm wondering: Why use `AsyncTask` when there is `IntentService`?","Formatting, basic spelling",,1,7/2/14 3:36,Having Listeners in Service or IntentService?,<android>,2951,11/16/10 12:07,202,508,134,,"Grenoble, France","<p>I'm a french web developer specialized in backend and frontend website development.
HTML, CSS, JS, PHP are the languages I'm most familiar with but I am currently learning Android development by writing a <a href=""https://github.com/nstCactus/Hadra-Trance-Festival"" rel=""nofollow"">companion app</a> for a music festival.</p>

<p>This year, I'm also working on a web-documentary project (about the status of women in Australia) which will use node.js on the server-side.</p>
",7/2/14 3:36,
584043,,"I am inserting a value on 3 position the value is being inserted but somehow while copying the rest part it does not copy the last point. The size of an array is not increasing. Can anyone tell me how to add new elements in an array in between.

    for(indexpoint=0;indexpoint<3;indexpoint++)	
    { 			
        temp.points[indexpoint].x = intpoints[indexpoint].x+this.x;
        temp.points[indexpoint].y = intpoints[indexpoint].y+this.y;	
    }
		
    temp.points[3].x = (intpoints[2].x+intpoints[3].x)/2+this.x;
    temp.points[3].y = (intpoints[2].y+intpoints[3].y)/2+this.y;
				
    for(indexpoint=3;indexpoint<intpoints.length;indexpoint++)
    { 			
        temp.points[indexpoint+1].x = intpoints[indexpoint].x+this.x;
        temp.points[indexpoint+1].y = intpoints[indexpoint].y+this.y;		
    }",formatting the code,,1,10/3/15 5:09,Inserting value in between an array in action script3.0,<actionscript-3><flex><flex3>,748,1/29/13 14:05,89,209,48,http://www.guedas.com,"Nantes, France","<p>I like cats playing the piano.</p>
",2/13/13 22:39,
3002027,,"I support a `Webforms` application using a `SQL server` db. 

We have a Find functionality in the app, which essentially reads from the db, based on the filter criteria selected in the Find page. I would like make this more performance and dynamic, similar to a search engine. 

I tried moving the data from `SQL Server` to `ES` but was not successful. I also need the data to be moved to the `NoSQL` db or search engine in real time. 

Is it possible for `ES`/`Solr` or `NoSQL` to directly read from `SQL Server`? Would that cause latency?

Apologies if the above description is vague but I am initially trying to get a high-level understanding of the possible options.

Thanks in advance.",adjust layout,,1,9/22/17 18:01,Suggestions on moving SQL Server data to NoSQL or ES/Solr,<sql-server><elasticsearch><solr><nosql>,2533,9/19/12 13:55,264,142,62,,"Cairo, Egypt","<p>I am senior software developer at <a href=""https://www.its.ws/"" rel=""nofollow noreferrer"">ITS</a> company, </p>

<p>I am interested in databases vendors especially Microsoft, </p>

<p>I am self-motivated, ambitious and eager to learn.</p>

<p>I love to teaching, I am an instructor at <a href=""http://www.aldarayn.com/"" rel=""nofollow noreferrer"">Aldarayn</a> Academy.</p>

<p>I love to code. and I love to help others for resolving thier issues.</p>
",3/1/17 10:11,
2707978,,"Please try:

    var feedValueAxis1 = new sap.viz.ui5.controls.common.feeds.FeedItem({
                  'uid': ""valueAxis"",
                  'type': ""Measure"",
                  'values': [ DataA ]
                }), feedValueAxis2 = new sap.viz.ui5.controls.common.feeds.FeedItem({
                  'uid': ""valueAxis2"",
                  'type': ""Measure"",
                  'values': [DataB]
                }),

it will automatically `plot` `DataA` against `left axis` as bar and `DataB` against `right` `axis` as line.

Please be noticed that dual combination was available starting from `SAPUI5 1.40.`

Hope this helps",Space adjustments,,2,9/7/16 4:02,,,2349,12/31/15 6:26,549,503,185,,India,"<p>Currently learning Android Application development, KOTLIN and React-Native, and working as a Software Engineer in <a href=""http://adroitminds.com"" rel=""nofollow noreferrer""><code>Adroitminds Software Labs LLP</code></a></p>
",9/7/16 4:02,
1712484,,"I deployed jenkins.war to tomcat webapps. and changed security setting to ""allow only login user..."" without creating any users yet.

So now I am not able to login jenkins, and can not disable the login option either.

After googling around, seems it can be solved by editing config.xml file under jenkins root directory;  however, there's not such xml existing in my jenkins root dir.

How do I recover from here?

Many Thanks!

Update:

1. Actually jenkins is running on the Windows 7 OS.
2. After specifically set the environment variable as JENKINS_HOME=""F:\Tools\apache-tomcat-7.0.50\webapps\jenkins""
3. then navigate to `http://localhost:8080/jenkins/`

I see below Error - 

    *hudson.util.HudsonFailedToLoad: org.jvnet.hudson.reactor.ReactorException: java.io.IOException: Unable to read F:\Tools\apache-tomcat-7.0.50\webapps\jenkins\config.xml
    	at hudson.WebAppMain$3.run(WebAppMain.java:234)
    Caused by: org.jvnet.hudson.reactor.ReactorException: java.io.IOException: Unable to read F:\Tools\apache-tomcat-7.0.50\webapps\jenkins\config.xml
    	at org.jvnet.hudson.reactor.Reactor.execute(Reactor.java:269)
    	at jenkins.InitReactorRunner.run(InitReactorRunner.java:44)
    	at jenkins.model.Jenkins.executeReactor(Jenkins.java:910)
    	at jenkins.model.Jenkins.<init>(Jenkins.java:809)
    	at hudson.model.Hudson.<init>(Hudson.java:82)
    	at hudson.model.Hudson.<init>(Hudson.java:78)
    	at hudson.WebAppMain$3.run(WebAppMain.java:222)
    Caused by: java.io.IOException: Unable to read F:\Tools\apache-tomcat-7.0.50\webapps\jenkins\config.xml
    	at hudson.XmlFile.unmarshal(XmlFile.java:167)
    	at jenkins.model.Jenkins$17.run(Jenkins.java:2562)
    	at org.jvnet.hudson.reactor.TaskGraphBuilder$TaskImpl.run(TaskGraphBuilder.java:169)
    	at org.jvnet.hudson.reactor.Reactor.runTask(Reactor.java:282)
    	at jenkins.model.Jenkins$7.runTask(Jenkins.java:899)
    	at org.jvnet.hudson.reactor.Reactor$2.run(Reactor.java:210)
    	at org.jvnet.hudson.reactor.Reactor$Node.run(Reactor.java:117)
    	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
    	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
    	at java.lang.Thread.run(Thread.java:724)
    Caused by: java.lang.InstantiationError: hudson.security.AuthorizationStrategy
    	at sun.reflect.GeneratedSerializationConstructorAccessor5.newInstance(Unknown Source)*
",Rolled back edit into community wiki answer.,,1,2/5/15 17:55,"Unable to login jenkins, and can't disable login option either",<jenkins><tomcat7>,3993,12/17/14 11:52,20632,2831,434,http://www.dcs.hull.ac.uk,"Hull, UK","

<p>I am a lecturer of Computer Science at the University of Hull.
 I have worked in the software industry in the US and the UK. I have over 40 years software development experience, in writing compilers, operating system implementation and porting, networking protocol stacks, protocol analysers and software for arcane and unusual architectures.</p>

<p>I am experienced at answering and solving students' programming and computer science questions.</p>

<p>I teach the networking, compilers and security courses.</p>

<p>My research areas include computer crime, forensics and security.</p>

<p>I was the  first timelord and created the tardis.</p>
",2/5/15 17:55,
